"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2020 06:00:00 - 06/01/2020 07:00:00","BZN|PL","Without Sequence","36.33","",""
"06/01/2020 07:00:00 - 06/01/2020 08:00:00","BZN|PL","Without Sequence","48.38","",""
"06/01/2020 08:00:00 - 06/01/2020 09:00:00","BZN|PL","Without Sequence","48.40","",""
"06/01/2020 09:00:00 - 06/01/2020 10:00:00","BZN|PL","Without Sequence","48.40","",""
"06/01/2020 10:00:00 - 06/01/2020 11:00:00","BZN|PL","Without Sequence","48.39","",""
"06/01/2020 11:00:00 - 06/01/2020 12:00:00","BZN|PL","Without Sequence","42.43","",""
"06/01/2020 12:00:00 - 06/01/2020 13:00:00","BZN|PL","Without Sequence","40.27","",""
"06/01/2020 13:00:00 - 06/01/2020 14:00:00","BZN|PL","Without Sequence","37.49","",""
"06/01/2020 14:00:00 - 06/01/2020 15:00:00","BZN|PL","Without Sequence","37.51","",""
"06/01/2020 15:00:00 - 06/01/2020 16:00:00","BZN|PL","Without Sequence","37.48","",""
"06/01/2020 16:00:00 - 06/01/2020 17:00:00","BZN|PL","Without Sequence","41.41","",""
"06/01/2020 17:00:00 - 06/01/2020 18:00:00","BZN|PL","Without Sequence","48.05","",""
"06/01/2020 18:00:00 - 06/01/2020 19:00:00","BZN|PL","Without Sequence","48.22","",""
"06/01/2020 19:00:00 - 06/01/2020 20:00:00","BZN|PL","Without Sequence","46.73","",""
"06/01/2020 20:00:00 - 06/01/2020 21:00:00","BZN|PL","Without Sequence","37.94","",""
"06/01/2020 21:00:00 - 06/01/2020 22:00:00","BZN|PL","Without Sequence","37.94","",""
"06/01/2020 22:00:00 - 06/01/2020 23:00:00","BZN|PL","Without Sequence","36.63","",""
"06/01/2020 23:00:00 - 07/01/2020 00:00:00","BZN|PL","Without Sequence","33.43","",""
"07/01/2020 00:00:00 - 07/01/2020 01:00:00","BZN|PL","Without Sequence","35.95","",""
"07/01/2020 01:00:00 - 07/01/2020 02:00:00","BZN|PL","Without Sequence","34.88","",""
